단어,발음기호,한국어발음,분류,품사,뜻,예문,예문해석,예문2,예문2해석,예문3,예문3해석,예문4,예문4해석
rain,/reɪn/,[레]인,4-7 Weather 날씨,명/동,명: 비 / 동: 비가 오다,Heavy **rain** delayed several flights.,폭우로 여러 항공편이 지연되었다.,It may **rain** during the evening commute.,저녁 퇴근 시간에 비가 올 수도 있다.,,,,
shower,/ˈʃaʊər/,[샤]워,4-7 Weather 날씨,명/동,명: 소나기 / 동: 소나기가 내리다,A brief **shower** cooled the streets.,짧은 소나기가 거리를 식혔다.,It **showered** for a few minutes after lunch.,점심 식사 후 몇 분 동안 소나기가 내렸다.,,,,
drizzle,/ˈdrɪzl/,드[리]즐,4-7 Weather 날씨,명/동,명: 이슬비 / 동: 이슬비가 내리다,A light **drizzle** began before sunrise.,해 뜨기 전에 가벼운 이슬비가 시작되었다.,It **drizzled** throughout our morning walk.,아침 산책 내내 이슬비가 내렸다.,,,,
downpour,/ˈdaʊnpɔːr/,[다]운포ː,4-7 Weather 날씨,명,폭우,We waited under a roof until the **downpour** ended.,우리는 폭우가 그칠 때까지 지붕 아래에서 기다렸다.,,,,,,
thunderstorm,/ˈθʌndərstɔːrm/,[썬]더스톰ː,4-7 Weather 날씨,명,뇌우,The outdoor concert was canceled because of a **thunderstorm**.,야외 콘서트는 뇌우 때문에 취소되었다.,,,,,,
thunder,/ˈθʌndər/,[썬]더,4-7 Weather 날씨,명/동,명: 천둥 / 동: 천둥이 치다,A loud roll of **thunder** woke me at midnight.,큰 천둥소리가 자정에 나를 깨웠다.,It **thundered** several times during the storm.,폭풍 동안 천둥이 여러 번 쳤다.,,,,
lightning,/ˈlaɪtnɪŋ/,[라]이트닝,4-7 Weather 날씨,명,번개,A flash of **lightning** lit the entire sky.,번개 한 줄기가 하늘 전체를 밝혔다.,,,,,,
hail,/heɪl/,[헤]일,4-7 Weather 날씨,명/동,명: 우박 / 동: 우박이 내리다,Small pieces of **hail** covered the sidewalk.,작은 우박 알갱이들이 인도를 덮었다.,It **hailed** for ten minutes in the afternoon.,오후에 10분 동안 우박이 내렸다.,,,,
windy,/ˈwɪndi/,[윈]디,4-7 Weather 날씨,형,바람이 부는,It was too **windy** to use a beach umbrella.,바람이 너무 많이 불어 비치 파라솔을 사용할 수 없었다.,,,,,,
wind,/wɪnd/,[윈]드,4-7 Weather 날씨,명,바람,Strong **wind** knocked a branch onto the road.,강한 바람이 나뭇가지를 도로에 떨어뜨렸다.,,,,,,
breeze,/briːz/,브[리]ː즈,4-7 Weather 날씨,명,산들바람,A cool **breeze** came through the open window.,시원한 산들바람이 열린 창문으로 들어왔다.,,,,,,
foggy,/ˈfɔːɡi/,[포]ː기,4-7 Weather 날씨,형,안개가 낀,The highway was **foggy** early this morning.,오늘 이른 아침 고속도로에 안개가 꼈다.,,,,,,
fog,/fɔːɡ/,[포]ː그,4-7 Weather 날씨,명/동,명: 안개 / 동: 안개가 끼다; 흐리게 하다,Thick **fog** reduced visibility near the airport.,짙은 안개로 공항 근처의 시야가 줄었다.,Steam **fogged** the bathroom mirror.,수증기가 욕실 거울을 흐리게 했다.,,,,
cloud,/klaʊd/,클[라]우드,4-7 Weather 날씨,명/동,명: 구름 / 동: 흐려지다; 구름이 끼다,A dark **cloud** moved over the mountain.,짙은 구름 하나가 산 위로 이동했다.,Smoke **clouded** the sky above the factory.,연기가 공장 위 하늘을 흐리게 했다.,,,,
snowing,/ˈsnoʊɪŋ/,스[노]우잉,4-7 Weather 날씨,형,눈이 오는,"It is **snowing**, and the roads are becoming slippery.",눈이 오고 있어서 도로가 미끄러워지고 있다.,,,,,,
snow,/snoʊ/,스[노]우,4-7 Weather 날씨,명/동,명: 눈 / 동: 눈이 오다,Fresh **snow** covered the mountain overnight.,밤사이 새 눈이 산을 덮었다.,It **snowed** heavily in the northern area.,북부 지역에 눈이 많이 내렸다.,,,,
snowstorm,/ˈsnoʊstɔːrm/,스[노]우스톰ː,4-7 Weather 날씨,명,눈보라,The **snowstorm** closed schools across the city.,눈보라로 도시 전역의 학교가 휴교했다.,,,,,,
storm,/stɔːrm/,스[톰]ː,4-7 Weather 날씨,명/동,명: 폭풍 / 동: 폭풍처럼 몰아치다,The **storm** damaged several trees near the coast.,폭풍이 해안 근처의 나무 여러 그루를 손상시켰다.,Waves **stormed** against the rocks all night.,파도가 밤새 바위에 거세게 몰아쳤다.,,,,
dust storm,/dʌst stɔːrm/,[더]스트 스톰ː,4-7 Weather 날씨,구,모래 폭풍,Drivers stopped when a **dust storm** blocked the road.,모래 폭풍이 도로를 가리자 운전자들이 멈췄다.,,,,,,
smoggy,/ˈsmɑːɡi/,스[마]ː기,4-7 Weather 날씨,형,스모그가 많은,The city looked **smoggy** from the observation deck.,전망대에서 보니 도시가 스모그로 뿌옇게 보였다.,,,,,,
rainbow,/ˈreɪnboʊ/,[레]인보우,4-7 Weather 날씨,명,무지개,A double **rainbow** appeared after the shower.,소나기 후 쌍무지개가 나타났다.,,,,,,
rainy season,/ˈreɪni siːzn/,[레]이니 시ː즌,4-7 Weather 날씨,구,장마철,Roads often flood during the **rainy season**.,장마철에는 도로가 자주 침수된다.,,,,,,
dry season,/draɪ siːzn/,드[라]이 시ː즌,4-7 Weather 날씨,구,건기,Water supplies are limited in the **dry season**.,건기에는 물 공급이 제한된다.,,,,,,
monsoon,/mɑːnˈsuːn/,만ː[순]ː,4-7 Weather 날씨,명,우기; 몬순,The summer **monsoon** brings weeks of heavy rain.,여름 몬순은 여러 주 동안 많은 비를 가져온다.,,,,,,
heat wave,/hiːt weɪv/,[힛]ː 웨이브,4-7 Weather 날씨,구,폭염,The city opened cooling centers during the **heat wave**.,도시는 폭염 동안 무더위 쉼터를 열었다.,,,,,,
cold spell,/koʊld spel/,[코]울드 스펠,4-7 Weather 날씨,구,한파,A sudden **cold spell** damaged the early flowers.,갑작스러운 한파가 일찍 핀 꽃들을 손상시켰다.,,,,,,
typhoon,/taɪˈfuːn/,타이[푼]ː,4-7 Weather 날씨,명,태풍,The ferry service stopped as the **typhoon** approached.,태풍이 다가오자 여객선 운항이 중단되었다.,,,,,,
hurricane,/ˈhɜːrəkeɪn/,[허]ː러케인,4-7 Weather 날씨,명,허리케인,Residents boarded their windows before the **hurricane** arrived.,주민들은 허리케인이 오기 전에 창문에 판자를 댔다.,,,,,,
tornado,/tɔːrˈneɪdoʊ/,토ː[네]이도우,4-7 Weather 날씨,명,토네이도,The **tornado** warning sent everyone to the basement.,토네이도 경보로 모두가 지하실로 대피했다.,,,,,,
flood,/flʌd/,플[러]드,4-7 Weather 날씨,명/동,명: 홍수 / 동: 범람하다; 물에 잠기게 하다,The **flood** forced several families to leave their homes.,홍수로 여러 가족이 집을 떠나야 했다.,Heavy rain **flooded** the underground parking lot.,폭우가 지하 주차장을 물에 잠기게 했다.,,,,
drought,/draʊt/,드[라]우트,4-7 Weather 날씨,명,가뭄,The long **drought** reduced the region’s harvest.,오랜 가뭄으로 그 지역의 수확량이 줄었다.,,,,,,
temperature,/ˈtemprətʃər/,[템]프러처,4-8 Temperature 기온과 온도,명,기온; 온도,The **temperature** is twenty degrees today.,오늘 기온은 20도다.,,,,,,
degree,/dɪˈɡriː/,디그[리]ː,4-8 Temperature 기온과 온도,명,도; 온도 단위,The temperature rose by one **degree**.,기온이 1도 올랐다.,,,,,,
thermometer,/θərˈmɑːmɪtər/,써[마]ː미터,4-8 Temperature 기온과 온도,명,기온계,The **thermometer** is by the window.,기온계는 창문 옆에 있다.,,,,,,
zero,/ˈzɪroʊ/,[지]로우,4-8 Temperature 기온과 온도,명,영도,The temperature dropped to **zero**.,기온이 영도로 떨어졌다.,,,,,,
below zero,/bɪˈloʊ zɪroʊ/,빌[로]우 지로우,4-8 Temperature 기온과 온도,구,영하,The temperature fell **below zero** last night.,어젯밤 기온이 영하로 떨어졌다.,,,,,,
above zero,/əˈbʌv zɪroʊ/,어[버]브 지로우,4-8 Temperature 기온과 온도,구,영상,The temperature stayed **above zero**.,기온은 영상에 머물렀다.,,,,,,
minus,/ˈmaɪnəs/,[마]이너스,4-8 Temperature 기온과 온도,형,영하의,It was **minus** five degrees this morning.,오늘 아침은 영하 5도였다.,,,,,,
room temperature,/ruːm temprətʃər/,[룸]ː 템프러처,4-8 Temperature 기온과 온도,구,실온,Let the butter reach **room temperature**.,버터가 실온이 되도록 두세요.,,,,,,
hot,/hɑːt/,[핫]ː,4-8 Temperature 기온과 온도,형,더운,It felt **hot** outside by noon.,정오가 되자 밖이 덥게 느껴졌다.,,,,,,
warm,/wɔːrm/,[웜]ː,4-8 Temperature 기온과 온도,형/동,형: 따뜻한 / 동: 따뜻하게 하다; 따뜻해지다,The afternoon stayed **warm** and pleasant.,오후 내내 따뜻하고 쾌적했다.,Please **warm** the soup before serving it.,수프를 내기 전에 따뜻하게 해 주세요.,,,,
mild,/maɪld/,[마]일드,4-8 Temperature 기온과 온도,형,온화한,The weather was **mild** enough for a walk.,산책하기에 충분히 온화한 날씨였다.,,,,,,
cool,/kuːl/,[쿨]ː,4-8 Temperature 기온과 온도,형/동,형: 시원한; 서늘한 / 동: 식히다; 식다,The evening became **cool** after sunset.,해가 진 뒤 저녁이 선선해졌다.,Let the tea **cool** for a few minutes.,차를 몇 분 동안 식히세요.,,,,
cold,/koʊld/,[코]울드,4-8 Temperature 기온과 온도,형,추운,It was **cold** when I left home.,내가 집을 나설 때는 추웠다.,,,,,,
chilly,/ˈtʃɪli/,[칠]리,4-8 Temperature 기온과 온도,형,쌀쌀한,The morning air felt **chilly**.,아침 공기가 쌀쌀하게 느껴졌다.,,,,,,
freezing,/ˈfriːzɪŋ/,프[리]ː징,4-8 Temperature 기온과 온도,형,몹시 추운; 영하의,It was **freezing** at the bus stop.,버스 정류장은 몹시 추웠다.,,,,,,
boiling,/ˈbɔɪlɪŋ/,[보]일링,4-8 Temperature 기온과 온도,형,몹시 더운,It was **boiling** inside the crowded room.,사람이 붐비는 방 안은 몹시 더웠다.,,,,,,
scorching,/ˈskɔːrtʃɪŋ/,스[코]ː칭,4-8 Temperature 기온과 온도,형,타는 듯이 더운,We stayed indoors during the **scorching** afternoon.,우리는 타는 듯이 더운 오후 동안 실내에 머물렀다.,,,,,,
frost,/frɔːst/,프[로]ː스트,4-8 Temperature 기온과 온도,명/동,명: 서리 / 동: 서리가 내리다; 성에가 끼다,There was **frost** on the grass this morning.,오늘 아침 잔디에 서리가 내렸다.,The windows **frosted** overnight.,밤사이 창문에 성에가 꼈다.,,,,
clothes,/kloʊðz/,클[로]우즈,5-1 Clothing 의류,명,옷,I laid out my **clothes** for tomorrow morning.,나는 내일 아침에 입을 옷을 미리 꺼내 놓았다.,,,,,,
bra,/brɑː/,브[라]ː,5-1 Clothing 의류,명,브래지어,"This **bra** has soft, adjustable straps.",이 브래지어에는 부드럽고 길이 조절이 가능한 끈이 있다.,,,,,,
slip,/slɪp/,슬[립],5-1 Clothing 의류,명,슬립,She wore a **slip** under the light dress.,그녀는 얇은 드레스 안에 슬립을 입었다.,,,,,,
camisole,/ˈkæmɪsoʊl/,[캐]미소울,5-1 Clothing 의류,명,캐미솔,A cotton **camisole** feels cool in summer.,면 캐미솔은 여름에 시원하게 느껴진다.,,,,,,
underwear,/ˈʌndərwer/,[언]더웨어,5-1 Clothing 의류,명,속옷(통칭),Pack enough **underwear** for the business trip.,출장 기간에 필요한 속옷을 충분히 챙기세요.,,,,,,
underpants,/ˈʌndərpænts/,[언]더팬츠,5-1 Clothing 의류,명,팬티(미·영),He bought a pack of comfortable **underpants**.,그는 편안한 팬티 한 묶음을 샀다.,,,,,,
knickers,/ˈnɪkərz/,[니]커즈,5-1 Clothing 의류,명,"팬티(영국, 여성용)",These **knickers** can be washed in cold water.,이 여성용 팬티는 찬물로 세탁할 수 있다.,,,,,,
"boxer shorts, boxers","/ˈbɑːksər ʃɔːrts/, /ˈbɑːksərz/",[박]ː서 쇼ː츠 / [박]ː서즈,5-1 Clothing 의류,명,사각 팬티,Loose **boxer shorts** are comfortable for sleeping.,헐렁한 사각 팬티는 잠잘 때 편안하다.,,,,,,
swimsuit,/ˈswɪmsuːt/,스[윔]숫ː,5-1 Clothing 의류,명,수영복,My **swimsuit** dried on the hotel balcony.,내 수영복은 호텔 발코니에서 말랐다.,,,,,,
vest,/vest/,[베]스트,5-1 Clothing 의류,명,조끼(미국) / 러닝셔츠(영국),"In American English, a **vest** is worn over a shirt.",미국 영어에서 vest는 셔츠 위에 입는 조끼를 뜻한다.,"In British English, a **vest** is worn under a shirt.",영국 영어에서 vest는 셔츠 안에 입는 러닝셔츠를 뜻한다.,,,,
waistcoat,/ˈweskət/,[웨]스컷,5-1 Clothing 의류,명,"조끼(영국, 정장용)",He added a gray **waistcoat** to his formal suit.,그는 정장에 회색 조끼를 더해 입었다.,,,,,,
shorts,/ʃɔːrts/,[쇼]ː츠,5-1 Clothing 의류,명,반바지,I changed into **shorts** after work.,나는 퇴근 후 반바지로 갈아입었다.,,,,,,
tank top,/tæŋk tɑːp/,[탱]크 탑ː,5-1 Clothing 의류,구,탱크톱; 민소매(미국),She wore a **tank top** during the workout.,그녀는 운동할 때 민소매 상의를 입었다.,,,,,,
skirt,/skɜːrt/,스[커]ː트,5-1 Clothing 의류,명,치마,The blue **skirt** falls just below her knees.,그 파란 치마는 그녀의 무릎 바로 아래까지 내려온다.,,,,,,
pants,/pænts/,[팬]츠,5-1 Clothing 의류,명,바지(미국) / 팬티(영국),"In American English, **pants** are worn over underwear.",미국 영어에서 pants는 속옷 위에 입는 바지를 뜻한다.,"In British English, **pants** usually means underwear.",영국 영어에서 pants는 보통 팬티를 뜻한다.,,,,
trousers,/ˈtraʊzərz/,트[라]우저즈,5-1 Clothing 의류,명,바지(영국),These **trousers** need to be shortened slightly.,이 바지는 길이를 조금 줄여야 한다.,,,,,,
pajamas,/pəˈdʒɑːməz/,퍼[자]ː머즈,5-1 Clothing 의류,명,파자마; 잠옷,The children put on their **pajamas** before bed.,아이들은 잠자리에 들기 전에 잠옷을 입었다.,,,,,,
"sportswear, tracksuit, sweatsuit","/ˈspɔːrtswer/, /ˈtræksuːt/, /ˈswetsuːt/",스[포]ː츠웨어 / 트[랙]숫ː / 스[웻]숫ː,5-1 Clothing 의류,명,운동복,The team received new **sportswear** for the tournament.,그 팀은 대회를 위해 새 운동복을 받았다.,,,,,,
cardigan,/ˈkɑːrdɪɡən/,[카]ː디건,5-1 Clothing 의류,명,카디건,I keep a light **cardigan** at the office.,나는 사무실에 얇은 카디건을 두고 다닌다.,,,,,,
shirt,/ʃɜːrt/,[셔]ː트,5-1 Clothing 의류,명,셔츠,Please iron the white **shirt** for the meeting.,회의에 입을 흰 셔츠를 다려 주세요.,,,,,,
tailcoat,/ˈteɪlkoʊt/,[테]일코웃,5-1 Clothing 의류,명,연미복,The conductor wore a black **tailcoat** onstage.,지휘자는 무대에서 검은 연미복을 입었다.,,,,,,
sweater,/ˈswetər/,스[웨]터,5-1 Clothing 의류,명,스웨터(미국),This wool **sweater** keeps me warm outdoors.,이 울 스웨터는 밖에서도 나를 따뜻하게 해 준다.,,,,,,
jumper,/ˈdʒʌmpər/,[점]퍼,5-1 Clothing 의류,명,스웨터(영국),Her red **jumper** matches the checked skirt.,그녀의 빨간 스웨터는 체크무늬 치마와 잘 어울린다.,,,,,,
blouse,/blaʊs/,블[라]우스,5-1 Clothing 의류,명,블라우스,The silk **blouse** is suitable for a client meeting.,그 실크 블라우스는 고객 회의에 잘 어울린다.,,,,,,
one-piece dress,/wʌn piːs dres/,[원] 피ː스 드레스,5-1 Clothing 의류,구,원피스,She chose a simple **one-piece dress** for the wedding.,그녀는 결혼식에 입을 단정한 원피스를 골랐다.,,,,,,
jacket,/ˈdʒækɪt/,[재]킷,5-1 Clothing 의류,명,재킷,Hang your **jacket** on the back of the chair.,재킷을 의자 뒤에 걸어 두세요.,,,,,,
coat,/koʊt/,[코]웃,5-1 Clothing 의류,명,코트,I buttoned my **coat** before stepping outside.,나는 밖으로 나가기 전에 코트 단추를 채웠다.,,,,,,
evening dress,/ˈiːvnɪŋ dres/,[이]ː브닝 드레스,5-1 Clothing 의류,구,이브닝 드레스,Her **evening dress** looked elegant under the lights.,그녀의 이브닝 드레스는 조명 아래에서 우아해 보였다.,,,,,,
tuxedo,/tʌkˈsiːdoʊ/,턱[시]ː도우,5-1 Clothing 의류,명,턱시도,He rented a **tuxedo** for the awards ceremony.,그는 시상식을 위해 턱시도를 빌렸다.,,,,,,
suit,/suːt/,[숫]ː,5-1 Clothing 의류,명/동,명: 정장; 슈트 / 동: 잘 어울리다; 적합하다,My navy **suit** is ready for the interview.,내 남색 정장은 면접에 입을 준비가 되어 있다.,This color **suits** you well.,이 색은 당신에게 잘 어울린다.,,,,
jeans,/dʒiːnz/,[진]ː즈,5-1 Clothing 의류,명,청바지,These **jeans** feel softer after several washes.,이 청바지는 여러 번 세탁한 뒤 더 부드러워졌다.,,,,,,
dress,/dres/,드[레]스,5-1 Clothing 의류,명/동,명: 드레스; 원피스 / 동: 옷을 입다; 옷을 입히다,She wore a floral **dress** to the garden party.,그녀는 정원 파티에 꽃무늬 드레스를 입었다.,I **dress** quickly on busy mornings.,나는 바쁜 아침에는 빨리 옷을 입는다.,,,,
hoodie,/ˈhʊdi/,[후]디,5-1 Clothing 의류,명,후드티,I pulled up my **hoodie** when the wind grew stronger.,바람이 세지자 나는 후드티의 모자를 올려 썼다.,,,,,,
sweatshirt,/ˈswetʃɜːrt/,스[웻]셔ː트,5-1 Clothing 의류,명,맨투맨,The gray **sweatshirt** is comfortable for a long flight.,그 회색 맨투맨은 장거리 비행에 편안하다.,,,,,,
leggings,/ˈleɡɪŋz/,[레]깅즈,5-1 Clothing 의류,명,레깅스,She paired black **leggings** with a long shirt.,그녀는 검은 레깅스에 긴 셔츠를 맞춰 입었다.,,,,,,
jumpsuit,/ˈdʒʌmpsuːt/,[점]숫ː,5-1 Clothing 의류,명,점프수트,The mechanic wore a practical **jumpsuit** at work.,정비사는 일할 때 실용적인 점프수트를 입었다.,,,,,,
overalls,/ˈoʊvərɔːlz/,[오]우버올ː즈,5-1 Clothing 의류,명,멜빵바지,The painter kept brushes in the pockets of his **overalls**.,페인트공은 멜빵바지 주머니에 붓을 넣어 두었다.,,,,,,
raincoat,/ˈreɪnkoʊt/,[레]인코웃,5-1 Clothing 의류,명,우비,Take a **raincoat** because showers are expected.,소나기가 예상되니 우비를 챙기세요.,,,,,,
windbreaker,/ˈwɪndbreɪkər/,[윈]드브레이커,5-1 Clothing 의류,명,바람막이,A thin **windbreaker** was enough for the morning hike.,아침 등산에는 얇은 바람막이로 충분했다.,,,,,,
padded jacket,/ˈpædɪd dʒækɪt/,[패]디드 재킷,5-1 Clothing 의류,구,패딩 점퍼,The child zipped up his **padded jacket** before school.,그 아이는 등교 전에 패딩 점퍼의 지퍼를 올렸다.,,,,,,
down jacket,/daʊn dʒækɪt/,[다]운 재킷,5-1 Clothing 의류,구,다운 재킷,My **down jacket** packs into a small travel bag.,내 다운 재킷은 작은 여행 가방에 넣을 수 있다.,,,,,,
turtleneck,/ˈtɜːrtlnek/,[터]ː틀넥,5-1 Clothing 의류,명,목폴라,A black **turtleneck** looks neat under the blazer.,검은 목폴라는 블레이저 안에 입으면 단정해 보인다.,,,,,,
uniform,/ˈjuːnɪfɔːrm/,[유]ː니폼ː,5-1 Clothing 의류,명,유니폼; 교복,Employees must wear the company **uniform** on duty.,직원들은 근무 중 회사 유니폼을 입어야 한다.,,,,,,
gown,/ɡaʊn/,[가]운,5-1 Clothing 의류,명,가운; 예복,She wore a formal **gown** to the award ceremony.,그녀는 시상식에 정식 예복을 입었다.,,,,,,
robe,/roʊb/,[로]웁,5-1 Clothing 의류,명,실내복; 가운,I put on a soft **robe** after taking a shower.,나는 샤워 후 부드러운 실내복을 걸쳤다.,,,,,,
earrings,/ˈɪrɪŋz/,[이]어링즈,5-2 Shoes and Accessories 신발과 액세서리,명,귀걸이,Her silver **earrings** caught the light.,그녀의 은색 귀걸이가 빛을 받았다.,,,,,,
earplugs,/ˈɪrplʌɡz/,[이]어플러그즈,5-2 Shoes and Accessories 신발과 액세서리,명,귀마개(소음 방지),I wear **earplugs** on noisy flights.,나는 시끄러운 비행에서 소음 방지 귀마개를 낀다.,,,,,,
ring,/rɪŋ/,[링],5-2 Shoes and Accessories 신발과 액세서리,명,반지,He placed the **ring** in a small velvet box.,그는 반지를 작은 벨벳 상자에 넣었다.,,,,,,
bowtie,/ˈboʊtaɪ/,[보]우타이,5-2 Shoes and Accessories 신발과 액세서리,명,나비넥타이,The waiter wore a red **bowtie** with his uniform.,그 종업원은 유니폼에 빨간 나비넥타이를 맸다.,,,,,,
hairband,/ˈherbænd/,[헤]어밴드,5-2 Shoes and Accessories 신발과 액세서리,명,머리띠,A wide **hairband** kept her hair away from her face.,넓은 머리띠가 그녀의 머리카락을 얼굴에서 치워 주었다.,,,,,,
hairpin,/ˈherpɪn/,[헤]어핀,5-2 Shoes and Accessories 신발과 액세서리,명,머리핀,She secured the loose strand with a **hairpin**.,그녀는 흘러내린 머리카락을 머리핀으로 고정했다.,,,,,,
necklace,/ˈnekləs/,[넥]러스,5-2 Shoes and Accessories 신발과 액세서리,명,목걸이,The pearl **necklace** was a gift from her grandmother.,그 진주 목걸이는 할머니가 주신 선물이었다.,,,,,,
socks,/sɑːks/,[삭]ː스,5-2 Shoes and Accessories 신발과 액세서리,명,양말,I packed two extra pairs of **socks**.,나는 양말 두 켤레를 더 챙겼다.,,,,,,
"change purse, coin purse","/tʃeɪndʒ pɜːrs/, /kɔɪn pɜːrs/",[체]인지 퍼ː스 / [코]인 퍼ː스,5-2 Shoes and Accessories 신발과 액세서리,명,동전지갑,I keep bus coins in a small **coin purse**.,나는 작은 동전지갑에 버스 요금을 넣어 둔다.,,,,,,
earmuffs,/ˈɪrmʌfs/,[이]어머프스,5-2 Shoes and Accessories 신발과 액세서리,명,귀마개(보온용),These **earmuffs** keep my ears warm in winter.,이 보온용 귀마개는 겨울에 귀를 따뜻하게 해 준다.,,,,,,
wallet,/ˈwɑːlət/,[와]ː릿,5-2 Shoes and Accessories 신발과 액세서리,명,지갑,My **wallet** holds my cards and identification.,내 지갑에는 카드와 신분증이 들어 있다.,,,,,,
watch,/wɑːtʃ/,[와]ː치,5-2 Shoes and Accessories 신발과 액세서리,명/동,명: 손목시계 / 동: 보다; 지켜보다,My **watch** is five minutes fast.,내 손목시계는 5분 빠르다.,We **watch** the news after dinner.,우리는 저녁 식사 후 뉴스를 본다.,,,,
sunglasses,/ˈsʌnɡlæsɪz/,[선]글래시즈,5-2 Shoes and Accessories 신발과 액세서리,명,선글라스,I put on **sunglasses** before driving west.,나는 서쪽으로 운전하기 전에 선글라스를 썼다.,,,,,,
"pantyhose, nylons","/ˈpæntihoʊz/, /ˈnaɪlɑːnz/",[팬]티호우즈 / [나]일란ː즈,5-2 Shoes and Accessories 신발과 액세서리,명,스타킹(미국),She wore **pantyhose** with her business suit.,그녀는 비즈니스 정장에 스타킹을 신었다.,,,,,,
stockings,/ˈstɑːkɪŋz/,스[타]ː킹즈,5-2 Shoes and Accessories 신발과 액세서리,명,스타킹(영국·통용),The costume included striped **stockings**.,그 의상에는 줄무늬 스타킹이 포함되어 있었다.,,,,,,
tights,/taɪts/,[타]이츠,5-2 Shoes and Accessories 신발과 액세서리,명,타이츠,Thick **tights** kept her legs warm.,두꺼운 타이츠가 그녀의 다리를 따뜻하게 해 주었다.,,,,,,
bracelet,/ˈbreɪslət/,브[레]이슬럿,5-2 Shoes and Accessories 신발과 액세서리,명,팔찌,The **bracelet** has her name engraved inside.,그 팔찌 안쪽에는 그녀의 이름이 새겨져 있다.,,,,,,
tie,/taɪ/,[타]이,5-2 Shoes and Accessories 신발과 액세서리,명/동,명: 넥타이 / 동: 묶다; 매다,His blue **tie** matches the company colors.,그의 파란 넥타이는 회사 색상과 잘 어울린다.,Please **tie** your shoelaces.,신발끈을 묶어 주세요.,,,,
glasses,/ˈɡlæsɪz/,글[래]시즈,5-2 Shoes and Accessories 신발과 액세서리,명,안경,I need my **glasses** to read small print.,나는 작은 글씨를 읽을 때 안경이 필요하다.,,,,,,
scarf,/skɑːrf/,스[카]ː프,5-2 Shoes and Accessories 신발과 액세서리,명,스카프,She wrapped a wool **scarf** around her neck.,그녀는 목에 울 스카프를 둘렀다.,,,,,,
handkerchief,/ˈhæŋkərtʃɪf/,[행]커치프,5-2 Shoes and Accessories 신발과 액세서리,명,손수건,He offered me a clean **handkerchief**.,그는 나에게 깨끗한 손수건을 건넸다.,,,,,,
boots,/buːts/,[붓]ː츠,5-2 Shoes and Accessories 신발과 액세서리,명,부츠,Waterproof **boots** are useful on muddy trails.,방수 부츠는 진흙길에서 유용하다.,,,,,,
cap,/kæp/,[캡],5-2 Shoes and Accessories 신발과 액세서리,명,야구모자,The delivery driver wore a company **cap**.,배달 기사는 회사 야구모자를 썼다.,,,,,,
belt,/belt/,[벨]트,5-2 Shoes and Accessories 신발과 액세서리,명,벨트,This **belt** has an adjustable metal buckle.,이 벨트에는 길이를 조절할 수 있는 금속 버클이 있다.,,,,,,
sneakers,/ˈsniːkərz/,스[니]ː커즈,5-2 Shoes and Accessories 신발과 액세서리,명,운동화(미국),My **sneakers** have good support for running.,내 운동화는 달릴 때 발을 잘 받쳐 준다.,,,,,,
trainers,/ˈtreɪnərz/,트[레]이너즈,5-2 Shoes and Accessories 신발과 액세서리,명,운동화(영국),He changed into **trainers** before gym class.,그는 체육 수업 전에 운동화로 갈아 신었다.,,,,,,
backpack,/ˈbækpæk/,[백]팩,5-2 Shoes and Accessories 신발과 액세서리,명,백팩(미국),My laptop fits safely inside the **backpack**.,내 노트북은 백팩 안에 안전하게 들어간다.,,,,,,
rucksack,/ˈrʌksæk/,[럭]색,5-2 Shoes and Accessories 신발과 액세서리,명,백팩(영국),The hiker carried lunch in his **rucksack**.,등산객은 배낭에 점심을 넣어 갔다.,,,,,,
high heels,/haɪ hiːlz/,[하]이 힐ː즈,5-2 Shoes and Accessories 신발과 액세서리,구,하이힐,She changed out of her **high heels** after the event.,그녀는 행사가 끝난 뒤 하이힐을 벗어 갈아 신었다.,,,,,,
gloves,/ɡlʌvz/,글[러]브즈,5-2 Shoes and Accessories 신발과 액세서리,명,장갑,Wear **gloves** when handling the hot tray.,뜨거운 쟁반을 다룰 때는 장갑을 끼세요.,,,,,,
"handbag, tote bag","/ˈhændbæɡ/, /toʊt bæɡ/",[핸]드백 / [토]웃 백,5-2 Shoes and Accessories 신발과 액세서리,명,핸드백; 토트백,Her **tote bag** is large enough for a tablet.,그녀의 토트백은 태블릿이 들어갈 만큼 크다.,,,,,,
loafers,/ˈloʊfərz/,[로]우퍼즈,5-2 Shoes and Accessories 신발과 액세서리,명,로퍼,Brown **loafers** look good with these trousers.,갈색 로퍼는 이 바지와 잘 어울린다.,,,,,,
shoes,/ʃuːz/,[슈]ː즈,5-2 Shoes and Accessories 신발과 액세서리,명,신발,Please remove your **shoes** at the entrance.,입구에서 신발을 벗어 주세요.,,,,,,
sandals,/ˈsændlz/,[샌]들즈,5-2 Shoes and Accessories 신발과 액세서리,명,샌들,Open **sandals** are comfortable at the beach.,트인 샌들은 해변에서 편안하다.,,,,,,
slippers,/ˈslɪpərz/,슬[리]퍼즈,5-2 Shoes and Accessories 신발과 액세서리,명,슬리퍼,The hotel provides clean **slippers** in every room.,그 호텔은 모든 객실에 깨끗한 슬리퍼를 제공한다.,,,,,,
flip-flops,/ˈflɪpflɑːps/,플[립]플랍ː스,5-2 Shoes and Accessories 신발과 액세서리,명,쪼리,I wore **flip-flops** to the outdoor shower.,나는 야외 샤워장에 쪼리를 신고 갔다.,,,,,,
